date	Barcelona	RealMadrid	NFL	ChampionsLeague	football	NBA	WorldCup	RMUCL	F1	Italy
2017-11-21T00:00:00	139	68	1078	99	174	780	81	0	208	100
2017-11-21T01:00:00	142	57	1452	120	165	1181	45	0	162	87
2017-11-21T02:00:00	73	46	1185	160	155	1419	26	2	185	66
2017-11-21T03:00:00	86	74	1187	61	176	1086	27	2	235	66
2017-11-21T04:00:00	83	37	918	202	167	1130	13	0	154	80
2017-11-21T05:00:00	89	56	604	157	222	584	11	0	144	192
2017-11-21T06:00:00	170	120	415	380	214	462	11	2	219	132
2017-11-21T07:00:00	284	88	205	355	178	463	20	0	226	262
2017-11-21T08:00:00	449	93	196	612	267	458	21	2	262	167
2017-11-21T09:00:00	484	256	343	611	242	416	42	220	382	132
2017-11-21T10:00:00	440	192	216	695	293	385	49	204	740	127
2017-11-21T11:00:00	415	147	318	819	283	587	123	149	657	171
2017-11-21T12:00:00	352	180	361	622	343	496	54	90	552	167
2017-11-21T13:00:00	423	153	499	741	349	604	70	114	763	323
2017-11-21T14:00:00	365	167	560	697	322	646	42	105	568	375
2017-11-21T15:00:00	347	136	630	718	343	572	49	52	565	242
2017-11-21T16:00:00	350	192	659	886	321	724	32	41	436	187
2017-11-21T17:00:00	342	273	715	1101	355	742	58	31	606	227
2017-11-21T18:00:00	303	1596	802	1907	345	580	39	1388	442	276
2017-11-21T19:00:00	283	2024	575	3636	439	538	23	1607	492	222
2017-11-21T20:00:00	339	15909	591	4848	324	467	43	14333	361	217
2017-11-21T21:00:00	308	7494	649	4597	406	478	31	3670	396	169
2017-11-21T22:00:00	242	2472	743	2222	440	657	37	819	335	142
2017-11-21T23:00:00	13251	17103	29742	6767	15484	35269	26434	682	22644	138
2017-11-22T00:00:00	231	735	644	654	201	476	41	341	221	93
