date,NFL,Barcelona,PSG,NBA,RealMadrid,ChampionsLeague,Peru,UCL,PSGCEL,F1
2017-11-22T00:00:00+00:00,644,231,87,476,735,654,464,72,8,221
2017-11-22T01:00:00+00:00,574,234,60,424,530,425,524,45,4,192
2017-11-22T02:00:00+00:00,508,139,51,425,495,422,269,46,8,123
2017-11-22T03:00:00+00:00,461,73,43,435,496,459,670,40,2,218
2017-11-22T04:00:00+00:00,407,130,33,491,446,422,265,50,1,127
2017-11-22T05:00:00+00:00,307,82,59,539,395,566,332,67,1,164
2017-11-22T06:00:00+00:00,283,164,148,300,367,479,144,101,8,140
2017-11-22T07:00:00+00:00,146,255,183,353,286,435,59,70,33,269
2017-11-22T08:00:00+00:00,122,295,232,288,269,429,47,77,25,309
2017-11-22T09:00:00+00:00,216,363,208,266,258,547,92,96,31,494
2017-11-22T10:00:00+00:00,155,330,182,224,286,477,54,97,21,592
2017-11-22T11:00:00+00:00,313,388,300,289,436,447,150,81,56,540
2017-11-22T12:00:00+00:00,415,434,303,396,398,453,344,113,38,511
2017-11-22T13:00:00+00:00,607,383,214,392,521,502,136,79,40,565
2017-11-22T14:00:00+00:00,658,404,277,487,435,431,469,153,44,393
2017-11-22T15:00:00+00:00,1007,466,267,510,349,585,341,247,43,363
2017-11-22T16:00:00+00:00,739,319,326,522,526,831,222,369,86,402
2017-11-22T17:00:00+00:00,700,340,267,565,387,1683,353,925,32,458
2017-11-22T18:00:00+00:00,793,440,569,448,420,1656,264,719,193,312
2017-11-22T19:00:00+00:00,677,647,896,583,340,2183,263,1077,880,302
2017-11-22T20:00:00+00:00,674,647,2041,500,468,2087,310,1433,3606,275
2017-11-22T21:00:00+00:00,763,560,2366,582,407,3156,332,1431,1710,284
2017-11-22T22:00:00+00:00,816,385,1584,828,256,1346,377,321,1386,189
2017-11-22T23:00:00+00:00,0,0,0,0,0,0,0,0,0,0
2017-11-23T00:00:00+00:00,713,124,429,1227,325,396,358,72,193,202
2017-11-23T01:00:00+00:00,512,104,194,1589,319,226,433,40,146,177
2017-11-23T02:00:00+00:00,441,75,105,2381,176,215,330,48,82,135
