date,PSGCEL,Barcelona,UCL,RealMadrid,NBA,Peru,F1,PSG,ChampionsLeague,NFL
2017-11-27T18:00:00+00:00,0,268,0,72,517,75,840,276,52,777
2017-11-27T19:00:00+00:00,0,263,3,91,619,97,1088,225,30,669
2017-11-27T20:00:00+00:00,0,344,1,72,1033,77,1035,234,21,710
2017-11-27T21:00:00+00:00,0,257,1,116,1016,67,754,210,21,590
2017-11-27T22:00:00+00:00,1,252,1,83,1039,46,729,146,85,729
2017-11-27T23:00:00+00:00,198.7,8661.9,1453.3,4959.4,6647.6,4093.8,14746.5,3555.4,5176.3,11271.8
2017-11-28T00:00:00+00:00,1,82,0,47,979,78,349,65,16,823
2017-11-28T01:00:00+00:00,0,79,0,25,910,86,348,36,6,928
2017-11-28T02:00:00+00:00,0,63,1,53,1326,63,298,36,88,1083
2017-11-28T03:00:00+00:00,0,92,1,513,898,62,340,31,37,824
2017-11-28T04:00:00+00:00,0,48,0,271,715,43,263,25,4,753
2017-11-28T05:00:00+00:00,0,54,1,104,696,40,340,41,7,493
2017-11-28T06:00:00+00:00,1,110,1,71,580,33,459,86,3,265
2017-11-28T07:00:00+00:00,0,193,1,81,478,39,611,131,5,159
2017-11-28T08:00:00+00:00,0,265,1,87,511,38,850,126,8,196
2017-11-28T09:00:00+00:00,1,307,1,151,540,33,711,187,4,219
2017-11-28T10:00:00+00:00,0,283,4,181,422,45,661,138,10,124
2017-11-28T11:00:00+00:00,0,327,4,175,594,83,1046,167,26,184
2017-11-28T12:00:00+00:00,0,260,1,229,581,107,933,185,16,380
2017-11-28T13:00:00+00:00,0,256,68,266,580,70,903,213,26,519
2017-11-28T14:00:00+00:00,0,309,25,256,640,80,832,205,275,606
2017-11-28T15:00:00+00:00,0,320,16,245,640,77,584,150,261,589
2017-11-28T16:00:00+00:00,0,274,5,213,695,66,793,141,65,475
2017-11-28T17:00:00+00:00,0,330,4,232,651,90,573,152,29,799
2017-11-28T18:00:00+00:00,0,267,8,169,583,87,512,240,14,625
2017-11-28T19:00:00+00:00,0,252,6,1229,643,83,452,201,7,541
2017-11-28T20:00:00+00:00,0,242,2,1329,686,63,429,201,13,811
2017-11-28T21:00:00+00:00,1,196,2,3414,611,66,524,152,11,926
2017-11-28T22:00:00+00:00,1,181,4,2443,788,89,414,197,15,813
2017-11-28T23:00:00+00:00,1,181,4,2443,788,89,414,197,15,813
2017-11-29T00:00:00+00:00,0,73,3,359,710,54,247,54,12,855
